"timeStamp","Exp0_OxygenTemp","Exp0_Oxygendphi","Exp0_OxygenpercentO2","Exp0_OxygensingelIntensity","Exp0_OxygenAmbientLight","Exp0_PhValue","Exp0_PresensO2value","Exp0_PH.calTemp","Exp0_PH.Ref.Amplitude","Exp0_PH.Amplitude","Exp0_PH.Phase.shift","Exp0_PH.calibration.Pressure","Exp0_Presens.02.Ref.Amp","Exp0_Presens.02.Amp","Exp0_Presens.02.Phase","Exp0_Presens.02.cal.Temp","Exp0_Presens.errorcode","Exp0_TempPump","Exp0_TempCamera","Exp1_OxygenTemp","Exp1_Oxygendphi","Exp1_OxygenpercentO2","Exp1_OxygensingelIntensity","Exp1_OxygenAmbientLight","Exp1_PhValue","Exp1_PresensO2value","Exp1_PH.calTemp","Exp1_PH.Ref.Amplitude","Exp1_PH.Amplitude","Exp1_PH.Phase.shift","Exp1_PH.calibration.Pressure","Exp1_Presens.02.Ref.Amp","Exp1_Presens.02.Amp","Exp1_Presens.02.Phase","Exp1_Presens.02.cal.Temp","Exp1_Presens.errorcode","Exp1_TempPump","Exp1_TempCamera","Temp_airHighPresision","Temp_Heater","Pressure_Electronics","Pressure_LateAccess","Imu_gyroX","Imu_gyroY","Imu_gyroZ","Imu_accelegrationX","Imu_accelegrationY","Imu_accelegrationZ","Imu_orientationX","Imu_orientationY","Imu_orientationZ","X36V.current","X36V.voltage","X12V.current","X12V.voltage","X5V.current","X5V.voltage","X3V.current","X3V.voltage","ssd.current","ssd.voltage","pump0.current","pump0.voltage","pump1.current","pump1.voltage","flowCellLed0.current","flowCellLed0.voltage","flowCellLed1.current","flowCellLed1.voltage"
1552122531,18435.8550570341,32676.2314011358,8245.27130248593,16054.0615652184,65301.3167471412,7068.48004970398,279378.809009434,0,0,0,0,0,0,0,0,0,0,17826.3737824716,17851.9396638445,16493.0374364324,53542.2399277723,4294966983.74674,59607.2507609841,65276.132883444,0,0,0,0,0,0,0,0,0,0,0,0,17917.3544186586,17622.8853497419,15671.7159101724,18346.1272802485,9480.01568503843,9371.85316874184,13.8282023176783,36.8674258118065,5.53922475834564,-3857.19019598412,29.5254790361898,-507.333374841839,0,0,0,406.063911424264,29170.1638940073,520.200745407424,12088.9096110703,422.768058360161,5056.5883524931,456.103201013323,3352.13511464933,100.309526519559,3337.53587283002,0,44.9354130893654,0,50.9444914817927,150.852954923039,85.1691712064967,280.761828956253,74.5578586904699
1552122537,18436.4745824924,32675.7969894139,8243.90662357054,16052.8431688393,65302.0245711448,7068.87269103964,279378.468276726,0,0,0,0,0,0,0,0,0,0,17825.3299198102,17851.2713656366,16491.134315258,53541.0559204933,4294966984.31486,59607.6453627332,65272.8514491272,0,0,0,0,0,0,0,0,0,0,0,0,17917.7006215678,17625.8676297994,15672.5952364644,18345.9927560988,9480.15872692224,9372.86962437148,13.6311972206698,37.6760698621133,5.75342441875327,-3857.79976846783,28.8235025717083,-506.720376277252,0,0,0,406.220497476646,29168.6403790774,520.683661140841,12091.2931189026,421.191592377312,5056.04205731907,456.765876668511,3351.56742598741,98.4968013951882,3339.69654610535,0,45.0619241072631,0,49.6379238406919,149.488392222568,84.6598647971544,281.191816848184,74.148848795692
1552122545,18436.1589709525,32677.6950739369,8245.68481250802,16057.0080179685,65302.1226455545,7067.57869505255,279379.699691783,0,0,0,0,0,0,0,0,0,0,17826.0903694378,17850.9080918447,16492.194534896,53541.3950900227,4294966982.56485,59607.3475204025,65277.1804062268,0,0,0,0,0,0,0,0,0,0,0,0,17915.4175656367,17624.5643520764,15673.0104859106,18346.1946321334,9480.56507231878,9372.46453483992,15.548718991859,36.3348392877325,7.69720709190389,-3855.69676647471,28.6197133999235,-504.887616882974,0,0,0,406.650815885307,29170.3777250609,518.781667266546,12089.6037185569,423.254585401157,5057.05908260522,457.545783206426,3352.2820143133,99.1551706380641,3339.35160451498,0,47.2962315460532,0,48.885370107279,149.404204131891,85.0268132103218,279.118064057569,74.2701129966942
1552122550,18436.3784191124,32675.5604936885,8242.79096940523,16052.4341436772,65303.8960386172,7065.89935190788,279380.709571623,0,0,0,0,0,0,0,0,0,0,17826.2608828464,17850.0690033414,16494.0138149993,53542.1812632002,4294966982.64878,59607.4428828048,65276.599344637,0,0,0,0,0,0,0,0,0,0,0,0,17917.2392457955,17624.7619558736,15672.5527664757,18346.0738970076,9479.14100896062,9373.76934293362,15.6158764350364,37.2303205402683,6.85425991570664,-3856.51213718614,29.8531282493353,-507.722424910443,0,0,0,405.618000314519,29170.7963851449,520.263611670683,12089.3254751771,421.088135784208,5055.37210355276,457.969903452741,3350.4434967467,99.2600222361797,3337.04112509244,0,47.251485612838,0,48.2936170856319,150.33408490727,84.3980252270145,280.602922909518,74.0013475285952
1552122555,18436.5273860115,32677.5657483497,8243.69578844989,16053.8376376864,65302.6075172914,7066.12870405532,279377.545173614,0,0,0,0,0,0,0,0,0,0,17825.9965333787,17849.7708307647,16492.2642884742,53541.8730565292,4294966982.19838,59605.2637785011,65275.0392623285,0,0,0,0,0,0,0,0,0,0,0,0,17917.2850250667,17626.0366876451,15670.148663486,18346.0352908306,9480.42788237325,9369.6882764328,13.7625259122716,36.7135037724924,8.53813525216817,-3857.18274689309,28.9559366292556,-507.71308015408,0,0,0,404.216145318222,29169.6209605331,520.921649545924,12088.7378131804,423.365891937528,5056.48654188913,456.768674896294,3349.95195585644,100.980133284259,3339.17674224887,0,46.5373739699085,0,51.1098918915945,147.740158524693,85.3391887084989,278.636312732835,75.4319226079273
1552122561,18435.6946731917,32676.5655318002,8245.44603995773,16054.0225145854,65302.3659556817,7065.63299774877,279378.346658137,0,0,0,0,0,0,0,0,0,0,17825.7144198015,17851.3602533887,16491.5264273993,53543.6089990756,4294966983.42176,59607.082261987,65273.9098208419,0,0,0,0,0,0,0,0,0,0,0,0,17915.5231213148,17624.1967375287,15672.8713913429,18346.3310314024,9480.38055682765,9372.80114778044,16.2176273977547,37.870492006611,7.24132253090055,-3858.09952544038,29.3716261337115,-508.217062896957,0,0,0,404.99107784486,29169.7791715587,518.640017806605,12087.864559573,423.257122855371,5055.72249067976,457.277579590921,3351.32546503608,100.100968993604,3338.65551690272,0,47.6849481840052,0,51.3860876525957,149.273354277674,87.5381548755411,281.320753151315,75.4043675217783
1552122566,18435.5016423079,32677.0955119773,8243.9920718323,16055.9397806946,65303.7402934878,7066.38986832135,279379.443780992,0,0,0,0,0,0,0,0,0,0,17826.6211450782,17850.8800566128,16490.864440442,53541.4508519829,4294966983.50194,59606.7757774277,65274.0478844855,0,0,0,0,0,0,0,0,0,0,0,0,17917.4624128214,17623.3765828399,15674.6464318254,18348.0605917699,9482.10273640102,9373.95761055941,16.6222510342164,35.580028401835,5.82784090844398,-3858.24085258219,30.0545726488317,-508.264662748436,0,0,0,404.697862387021,29170.2083408203,520.399916647926,12089.0472664688,421.809223381886,5055.83840768694,458.368130979223,3351.58550964444,100.839914717126,3339.332041128,0,46.3862003033658,0,48.4611854403741,147.453936456681,85.4007919543347,279.249687916299,72.6225177857583
1552122572,18435.3827290598,32676.5943385467,8245.34251379532,16055.8262099469,65303.1947762662,7066.98566628765,279377.831839611,0,0,0,0,0,0,0,0,0,0,17825.9563897644,17849.4847726075,16493.6169756196,53541.6106124917,4294966984.2229,59605.3286259492,65277.0568795886,0,0,0,0,0,0,0,0,0,0,0,0,17916.7856770366,17623.7042264911,15671.990107738,18346.2303940212,9480.54971789887,9373.12656503625,15.0758678102661,36.7740053760594,5.52451232800201,-3857.91022730362,28.4857377770706,-507.517165077195,0,0,0,405.672085316866,29170.5950547995,520.927356767493,12088.8871083123,423.715615481717,5055.24504389242,457.058328634835,3348.84248290073,101.668754651978,3337.88476637591,0,45.6091181500191,0,49.4837454160358,147.91241489083,85.2949406137947,280.739393179299,74.0659216549575
1552122577,18435.5941549812,32675.7562118126,8244.44193714838,16055.0140306307,65304.3816134343,7066.99002508151,279378.935673966,0,0,0,0,0,0,0,0,0,0,17824.5640831042,17850.7324951304,16493.1767735852,53542.9054999434,4294966982.52444,59606.7127734265,65276.42151371,0,0,0,0,0,0,0,0,0,0,0,0,17916.9326829704,17624.9148638339,15673.984571999,18345.4245809497,9480.81533556624,9372.10208852752,16.5342609390297,38.0481601675969,7.75833677749393,-3855.72821573107,29.4661262673852,-506.591255544841,0,0,0,405.502162027773,29168.6209752048,521.370961038458,12089.720820947,420.577838025545,5056.07598819989,457.392812241492,3351.75797792221,100.067375624846,3338.2514709419,0,47.3854572125462,0,49.4425663010123,148.770135625119,84.7553990057202,283.311427093815,74.4504478534362
1552122583,18435.6236331,32678.2635480085,8244.17791363561,16055.2583486412,65301.1065227743,7065.96745065747,279380.940864934,0,0,0,0,0,0,0,0,0,0,17825.4718809201,17849.4943784629,16491.7306355123,53543.519237924,4294966981.42652,59606.088515621,65276.1001723922,0,0,0,0,0,0,0,0,0,0,0,0,17915.8704364772,17624.8557148816,15671.9730073199,18347.3009133606,9481.23372039987,9373.18238893829,15.2958247597434,38.8789039954868,7.42001905965508,-3857.87435300786,30.1943752846172,-507.062443286154,0,0,0,405.309059987743,29170.1818125814,520.035012425232,12089.8162402525,423.376404595524,5055.43464710674,458.287372266431,3353.96281183833,99.9369133876393,3338.39666782341,0,46.0321158934378,0,49.7205973176124,148.204730020354,84.503479583547,279.743469845122,72.7941742976926
1552122589,18434.8617726654,32676.0899441532,8244.90131222419,16055.135735852,65303.6924417785,7066.05632918779,279380.150871019,0,0,0,0,0,0,0,0,0,0,17825.8518575454,17851.3851994372,16492.0557277978,53542.2205032719,4294966981.88097,59606.0698340948,65275.7985655751,0,0,0,0,0,0,0,0,0,0,0,0,17916.2226381005,17625.3000853259,15671.2636172637,18346.6797508342,9478.68953498107,9374.08128371631,14.9713244980718,37.908377707798,8.06299583070996,-3855.56269035964,30.579199087211,-508.620503323321,0,0,0,406.786414837036,29169.9697187748,518.842848239731,12089.8293277218,421.330414183626,5055.19681715133,458.184834111015,3351.78441913347,101.055527222167,3339.44736484125,0,47.9301035262488,0,50.714503547455,149.792510164554,85.52895564244,281.968703979963,71.6285806527101
1552122594,18435.165352618,32675.8486592576,8245.52716935176,16055.437176412,65302.8120514849,7068.23033428358,279379.155083444,0,0,0,0,0,0,0,0,0,0,17826.1156368293,17852.2118626148,16491.0959159903,53542.5305227056,4294966983.10835,59606.2509332947,65275.2296112051,0,0,0,0,0,0,0,0,0,0,0,0,17916.9623461321,17623.8301536647,15672.8186650815,18346.0729095468,9479.69388087546,9372.44259717648,13.8512204026586,37.5885285753852,6.87983463715242,-3856.23313396844,31.3695445226556,-508.558545326935,0,0,0,404.14756330049,29169.729823331,521.552849365449,12087.8562411366,423.25788587537,5056.51475342063,458.467341149619,3350.44148124296,101.463058091159,3338.83321771247,0,48.0499290930927,0,50.0116448713391,148.22674800953,84.8858311149638,280.915861571586,72.4834929891256
1552122599,18434.6879069722,32676.501888768,8244.29119076609,16054.3669960591,65303.5865599261,7065.65579305525,279379.368024166,0,0,0,0,0,0,0,0,0,0,17825.2828996762,17851.3072401431,16492.7390076883,53542.6301550986,4294966982.48851,59607.4640815321,65273.6594503157,0,0,0,0,0,0,0,0,0,0,0,0,17916.2209430689,17626.5694564954,15671.7358419865,18346.591278146,9481.86591902581,9371.34547940803,12.2029255802419,38.7055931393838,6.41380381400407,-3857.92623014642,29.1382516251198,-509.325424935139,0,0,0,407.306451124763,29171.6622127612,519.3417770344,12088.0497954712,421.341384340158,5057.72922462671,456.106522002517,3353.52908647206,97.008410499311,3338.14207057738,0,48.0652873756272,0,47.8081104284907,150.320763892715,83.7352997827212,280.401130103816,74.2132980975644
1552122604,18436.1863158033,32675.169193093,8245.42001172522,16053.3435150944,65300.3243811622,7066.39633633344,279379.38348172,0,0,0,0,0,0,0,0,0,0,17826.1403410408,17850.4590374912,16492.1846188925,53540.9128182297,4294966983.72338,59605.3938161127,65275.4280485396,0,0,0,0,0,0,0,0,0,0,0,0,17915.4435857126,17624.3663121383,15673.3416367868,18346.831483145,9480.36347002884,9371.59379602099,13.5903233728224,37.5889546445354,7.04700804856237,-3857.30199921613,31.4370176509203,-508.897895665573,0,0,0,406.027135672707,29169.3084599063,519.224561295061,12089.403702236,424.669330609537,5057.33328038117,459.286706988451,3352.86360972769,100.359131757428,3338.5213254236,0,47.1983172184963,0,49.6090033386638,147.340525038072,84.6409810175878,282.460336319206,75.4510750970005
1552122609,18434.3650293853,32676.1061853437,8244.60927312047,16054.7049869421,65302.5540071309,7064.13716112039,279379.957084691,0,0,0,0,0,0,0,0,0,0,17825.3603030293,17850.3532882047,16493.3462396646,53541.4107262429,4294966982.77338,59605.8360816615,65274.8317823453,0,0,0,0,0,0,0,0,0,0,0,0,17917.6041534844,17624.450155419,15673.2452260544,18346.3312604035,9480.50936083637,9373.50974363977,15.843029101761,37.4917998261488,8.68139845812662,-3855.45726705868,29.7909999334331,-507.0148028576,0,0,0,406.787274751866,29169.8631128072,519.943189359263,12090.3039577639,424.165183662869,5055.88538606709,457.434290420295,3350.3548570112,98.4974924022057,3338.23447936921,0,45.458338096997,0,50.751032926974,152.008804882301,84.2297371312449,281.922705579181,74.6972326858035
1552122614,18435.9577363889,32675.2812554244,8245.0289828118,16053.0188543743,65301.5479122663,7065.76059318829,279379.63720219,0,0,0,0,0,0,0,0,0,0,17825.1446550247,17849.0664017055,16494.0445016859,53543.1911332821,4294966982.01156,59606.5214329745,65276.3055855779,0,0,0,0,0,0,0,0,0,0,0,0,17916.7176444926,17624.5280399343,15672.4642472453,18346.3546452581,9479.6386280734,9373.81214926493,15.5526821518901,36.4533055583912,5.8912343423232,-3856.08953088313,27.8809836909686,-509.29252428037,0,0,0,406.015489726453,29170.9839025565,520.506025357804,12089.7179363618,421.227643109372,5057.48095069223,458.166350063413,3351.51247186786,100.253093818609,3338.47575913344,0,48.1606121012715,0,48.5759098619294,148.288854426596,83.346208467804,281.812018883554,72.0848997311772
1552122621,18435.6544391107,32678.1680044853,8244.54513671722,16054.4613007738,65303.9133218057,7064.53963529185,279378.930467455,0,0,0,0,0,0,0,0,0,0,17825.0280948262,17850.7360608738,16490.6285737668,53542.019558948,4294966981.97911,59605.2510573012,65276.573392116,0,0,0,0,0,0,0,0,0,0,0,0,17917.7367241926,17623.9640410638,15671.4133631092,18345.9762676992,9479.56422342805,9371.62081575075,15.0911849693532,37.7683152445605,5.83256641366876,-3855.33565204374,30.587339439295,-507.486632868311,0,0,0,405.505055778936,29169.4638736777,520.049831234233,12089.0103979673,423.283438783818,5057.63980094954,458.479687370818,3350.8487405865,98.9531234543059,3337.66534708729,0,47.5829434346403,0,49.0973862854277,150.101036647726,85.9943740651814,283.080750298509,73.9610010792864
1552122626,18434.739538778,32674.8490997355,8244.46025518093,16053.3515585898,65303.5645641941,7064.25000137653,279379.718464931,0,0,0,0,0,0,0,0,0,0,17825.2507108016,17851.2373005363,16492.2796165467,53542.1982294235,4294966983.0552,59606.6961884133,65276.7596440299,0,0,0,0,0,0,0,0,0,0,0,0,17914.7256728758,17626.0519290891,15672.9283722921,18344.9854066783,9480.57372166355,9372.79437464871,12.6624493220421,37.5544552530953,6.36864643185016,-3858.77857293476,29.9448790804666,-507.486150669068,0,0,0,407.457329914456,29170.1321304242,519.950637116551,12090.805252711,424.123759341631,5055.42210259929,455.745649613344,3351.53093913176,99.0604683062294,3339.09011853059,0,46.9031766725459,0,48.6106981750658,149.015866799173,85.8267761670246,281.105048775064,74.8549177867768
1552122632,18435.772967207,32675.7383900615,8244.92681437802,16056.1669957256,65303.4820857972,7065.54299716592,279380.38138226,0,0,0,0,0,0,0,0,0,0,17824.1425000591,17851.9043192956,16493.1577233481,53541.550722686,4294966980.84599,59607.0479288094,65275.7079141438,0,0,0,0,0,0,0,0,0,0,0,0,17917.7879160661,17625.5862101396,15673.3713664493,18345.6019126821,9481.53831270204,9374.50616332722,14.6500457938146,37.7300424643918,7.84830803271957,-3856.2363487133,30.4946453028616,-508.34996701247,0,0,0,405.136063756267,29171.1630067114,520.458317982384,12089.3848300606,421.752584248325,5056.9915688954,454.861748827661,3351.13971428777,100.866487277745,3339.55658826094,0,46.7237973225014,0,48.0590118409522,149.77621485186,85.0474977282405,281.799719533982,73.2887164660882
1552122637,18434.3302623556,32673.8497611702,8244.87622488491,16055.2643594817,65301.2638418459,7065.9140755353,279378.57089668,0,0,0,0,0,0,0,0,0,0,17825.8810540321,17850.272437938,16493.3862340992,53539.7492747564,4294966982.39835,59605.6647852835,65274.7219214993,0,0,0,0,0,0,0,0,0,0,0,0,17916.7516220945,17625.5149104612,15673.085440146,18345.7020842428,9481.18693636915,9374.01126550698,14.2372551375162,36.9132893294543,8.56899235297414,-3855.3599905695,30.4166113850427,-507.805452059538,0,0,0,403.048869211407,29169.3394763653,520.171535546476,12088.1883804862,422.535617797654,5056.01603216859,457.917701641552,3350.68214390231,100.662805779732,3338.96043498932,0,45.7287166036687,0,48.4058662590974,148.617194390378,83.5751759889193,283.195044112569,74.8020868034221
1552122643,18435.3123767731,32674.0881207686,8245.70955842751,16053.201212861,65302.9469123254,7065.78957263741,279379.759036973,0,0,0,0,0,0,0,0,0,0,17825.3285395708,17849.7145444431,16492.7536068999,53542.6165151954,4294966981.35568,59606.3895293491,65275.1836251404,0,0,0,0,0,0,0,0,0,0,0,0,17915.5018583734,17624.9244220409,15673.8142472144,18347.7935720998,9479.87215656243,9371.5357630641,15.5264120549964,37.9822783431314,9.463690962293,-3856.88320003214,27.8137580265169,-506.585130869939,0,0,0,404.727586977112,29171.0492647498,521.17089871369,12090.5237634174,423.56371900276,5057.05950487358,457.78121038297,3353.17044179415,99.5151063770374,3338.92406079685,0,48.144901490941,0,50.0383009551488,148.65146459709,82.3160967224954,283.356883323015,73.1582756197368
