timeStamp,Exp0_OxygenTemp,Exp0_Oxygendphi,Exp0_OxygenpercentO2,Exp0_OxygensingelIntensity,Exp0_OxygenAmbientLight,Exp0_PhValue,Exp0_PresensO2value,Exp0_PH calTemp,Exp0_PH Ref Amplitude,Exp0_PH Amplitude,Exp0_PH Phase shift,Exp0_PH calibration Pressure,Exp0_Presens 02 Ref Amp,Exp0_Presens 02 Amp,Exp0_Presens 02 Phase,Exp0_Presens 02 cal Temp,Exp0_Presens errorcode,Exp0_TempPump,Exp0_TempCamera,Exp1_OxygenTemp,Exp1_Oxygendphi,Exp1_OxygenpercentO2,Exp1_OxygensingelIntensity,Exp1_OxygenAmbientLight,Exp1_PhValue,Exp1_PresensO2value,Exp1_PH calTemp,Exp1_PH Ref Amplitude,Exp1_PH Amplitude,Exp1_PH Phase shift,Exp1_PH calibration Pressure,Exp1_Presens 02 Ref Amp,Exp1_Presens 02 Amp,Exp1_Presens 02 Phase,Exp1_Presens 02 cal Temp,Exp1_Presens errorcode,Exp1_TempPump,Exp1_TempCamera,Temp_airHighPresision,Temp_Heater,Pressure_Electronics,Pressure_LateAccess,Imu_gyroX,Imu_gyroY,Imu_gyroZ,Imu_accelegrationX,Imu_accelegrationY,Imu_accelegrationZ,Imu_orientationX,Imu_orientationY,Imu_orientationZ,36V current,36V voltage,12V current,12V voltage,5V current,5V voltage,3V current,3V voltage,ssd current,ssd voltage,pump0 current,pump0 voltage,pump1 current,pump1 voltage,flowCellLed0 current,flowCellLed0 voltage,flowCellLed1 current,flowCellLed1 voltage 
 1552122893,19805,32527,8151,15264,65197,7031,1415399,0,0,0,0,0,0,0,0,0,0,19250,19375,16594,53493,4294966937,59072,65166,0,0,0,0,0,0,0,0,0,0,0,0,19625,18687,16397,20062,9438,9376,-35,-33,-41,-3888,-27,-558,0,0,0,720,28988,1306,11961,363,5012,409,3308,50,3297,0,0,0,1,95,6,232,17
1552122898,19831,32544,8138,15213,65165,7031,1429775,0,0,0,0,0,0,0,0,0,0,19312,19375,16602,53494,4294966937,59096,65087,0,0,0,0,0,0,0,0,0,0,0,0,19625,18750,16408,20062,9436,9377,-27,-34,-45,-3902,-26,-523,0,0,0,760,28961,1306,11962,424,5013,727,3302,340,3275,0,0,0,1,95,6,232,16
1552122903,19864,32521,8150,15240,65247,7031,1451739,0,0,0,0,0,0,0,0,0,0,19312,19437,16605,53496,4294966937,58860,65147,0,0,0,0,0,0,0,0,0,0,0,0,19687,18750,16429,20062,9437,9378,-28,-31,-43,-3926,-24,-549,0,0,0,760,28985,1306,11962,272,5016,681,3303,320,3273,0,0,0,1,95,6,232,17
1552122909,19885,32527,8145,15188,65019,7031,1472776,0,0,0,0,0,0,0,0,0,0,19312,19437,16605,53491,4294966938,58936,65173,0,0,0,0,0,0,0,0,0,0,0,0,19687,18812,16440,20125,9439,9377,-30,-30,-43,-3909,-46,-549,0,0,0,720,28971,1306,11962,363,5016,409,3307,50,3296,0,0,0,1,95,6,232,17
1552122917,19885,32513,8153,15160,65158,7031,1479106,0,0,0,0,0,0,0,0,0,0,19375,19500,16615,53499,4294966936,58836,65233,0,0,0,0,0,0,0,0,0,0,0,0,19750,18812,16462,20187,9440,9377,-35,-31,-43,-3934,-26,-520,0,0,0,720,28985,1306,11961,454,5015,454,3306,50,3295,0,0,0,1,95,6,232,17
1552122922,19896,32528,8143,15180,65134,7031,1493582,0,0,0,0,0,0,0,0,0,0,19375,19500,16612,53477,4294966941,58952,65376,0,0,0,0,0,0,0,0,0,0,0,0,19750,18812,16494,20187,9438,9377,-29,-30,-44,-3890,-23,-553,0,0,0,680,28980,1306,11961,424,5005,409,3308,50,3295,0,0,0,1,95,6,232,16
1552122928,19927,32538,8133,15232,65133,7031,1528659,0,0,0,0,0,0,0,0,0,0,19375,19500,16612,53502,4294966935,58972,65195,0,0,0,0,0,0,0,0,0,0,0,0,19750,18875,16494,20250,9439,9380,-37,-28,-46,-3936,-26,-546,0,0,0,720,28978,1306,11961,424,5017,409,3307,50,3296,0,0,0,1,95,6,232,16
1552122933,19953,32518,8145,15112,65201,7031,1555767,0,0,0,0,0,0,0,0,0,0,19437,19500,16628,53487,4294966939,58924,65098,0,0,0,0,0,0,0,0,0,0,0,0,19812,18875,16515,20250,9440,9381,-35,-36,-34,-3911,7,-523,0,0,0,760,28962,1306,11960,424,5020,727,3302,320,3275,0,0,0,1,95,6,232,17
1552122938,19976,32525,8138,15148,65284,7031,1571379,0,0,0,0,0,0,0,0,0,0,19437,19562,16633,53491,4294966938,58888,65154,0,0,0,0,0,0,0,0,0,0,0,0,19812,18875,16547,20250,9437,9382,-33,-32,-35,-3907,-3,-544,0,0,0,720,28972,1306,11960,303,5010,681,3301,350,3278,0,0,0,2,95,6,232,17
1552122945,20005,32507,8148,15144,65406,7031,1597503,0,0,0,0,0,0,0,0,0,0,19437,19625,16633,53487,4294966939,58784,65214,0,0,0,0,0,0,0,0,0,0,0,0,19875,18875,16547,20312,9437,9383,-30,-27,-39,-3902,-19,-546,0,0,0,760,28962,1306,11960,303,5015,681,3305,320,3275,0,0,0,1,95,6,232,16
